time,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.000,-0.2963,0.3572,1.4470,0.8020,2.2265,1.4527,0.6891,-0.2649
0.004,1.1866,3.8894,3.8340,3.9470,4.2193,3.9077,3.0989,1.8803
0.008,2.8512,3.0338,5.5612,4.4344,7.0234,4.1991,3.9866,3.6923
0.012,3.2150,5.2277,5.3138,4.3951,8.0589,7.7907,5.4240,5.1116
0.016,3.9166,6.1626,6.4899,6.8390,7.4397,7.5637,5.7039,5.8521
0.020,5.9573,6.1004,7.7408,5.8734,9.0993,6.9795,7.0776,5.9149
0.024,6.0830,6.2560,6.3294,6.1734,8.4163,9.1566,7.9696,6.8075
0.028,6.6950,7.6158,8.7590,7.2799,7.8899,6.5339,8.6451,6.9763
0.032,3.9799,5.6654,8.6359,7.0124,6.6259,6.8532,6.3075,5.5267
0.036,5.5052,5.8190,6.8003,6.6112,8.3640,5.1319,5.5888,5.0578
0.040,4.3839,5.8613,7.2701,7.5988,5.8422,5.2017,5.6422,4.3334
0.044,6.1080,6.0408,6.0469,5.8350,4.8348,5.7709,4.4369,5.8836
0.048,5.9197,5.4319,5.7448,5.8046,3.5544,3.9778,4.6385,2.6958
0.052,5.0236,6.1896,6.7060,9.6997,3.9383,4.4503,2.3580,1.7153
0.056,4.2004,5.0876,6.8339,7.7406,3.1845,2.6721,0.0173,0.4935
0.060,4.8140,3.6452,5.4412,5.1270,1.7662,1.2748,-1.1495,-1.3293
0.064,3.4831,2.7137,3.8153,4.3738,1.0264,-0.7158,-2.9300,-2.5549
0.068,2.3589,2.7683,2.6409,2.8929,-2.6632,-1.5574,-3.4557,-2.7737
0.072,-0.6834,1.0007,1.9764,2.1848,-2.3156,-2.4141,-3.2919,-3.3013
0.076,-0.6255,1.1111,0.3305,0.2595,-2.8253,-3.4849,-2.7702,-4.4349
0.080,-1.7096,0.5325,-0.2748,0.1366,-3.2394,-4.7941,-4.6743,-5.3254
0.084,-1.6478,-2.3810,-1.5429,-0.4228,-4.7248,-5.6808,-3.9228,-4.2254
0.088,-2.1078,-2.4301,-2.1830,-1.9359,-4.1653,-3.2082,-4.1700,-5.1983
0.092,-2.7223,-2.6208,-1.6571,-1.4275,-2.3697,-2.6764,-3.2724,-3.2492
0.096,-2.7213,-1.3559,-2.0739,-0.1560,-1.6546,-1.5195,-2.9775,-1.6308
0.100,-0.8967,-2.5643,1.0433,-1.1393,-0.2316,-0.0319,-0.5769,-0.3809
0.104,-2.5821,-0.9108,0.0137,0.3785,1.8523,1.4710,0.2943,0.6265
0.108,-0.9002,-1.4838,-0.9494,-1.1539,3.5220,3.6731,1.8587,1.0941
0.112,-1.3350,-0.1969,-0.3397,-0.3479,4.5878,4.4780,3.6239,3.0855
0.116,-2.7454,-2.7821,-0.5177,-0.1206,4.3017,2.5877,5.0076,1.6356
0.120,-2.2365,-0.7146,-2.3979,-1.2731,4.3223,3.4700,2.6242,3.4642
0.124,-1.9875,-2.9420,-0.6939,-1.3335,4.0217,3.2903,4.1400,3.5330
0.128,-3.3239,-2.6594,-1.3050,-1.4365,1.6812,4.2301,4.3634,3.8407
0.132,-2.6408,-3.6025,-0.7483,-2.6612,3.6670,3.2728,2.6333,1.9729
0.136,-2.8867,-2.3592,-3.0960,-1.4561,-0.1874,1.9365,-0.0841,2.0496
0.140,-2.5963,-1.8757,-1.1536,-1.6305,1.1170,2.1743,1.2728,1.5043
0.144,-2.8286,-3.4740,-1.0182,-1.2139,1.2292,1.2054,1.0267,-1.3912
0.148,-0.6282,-2.0683,-1.1074,-1.9361,0.9065,0.7722,-0.6759,0.9309
0.152,-0.4112,-1.5835,-0.2095,0.4460,2.0129,1.4488,-1.7942,-1.8230
0.156,-1.7210,-1.4179,0.4888,-0.9847,-0.1089,-0.0848,-1.4905,-1.7718
0.160,0.2380,-0.5889,0.2410,0.8205,0.4542,-2.2990,-3.6027,-2.6795
0.164,0.5336,0.8076,1.8596,0.0783,-1.0397,-0.7663,-2.7929,-2.9127
0.168,0.2192,-0.5117,-0.2944,0.3654,-3.1759,-3.5293,-2.8769,-2.4666
0.172,0.8298,0.8428,3.3049,1.9556,-3.7884,-3.1758,-4.8250,-4.5065
0.176,0.7873,-0.2377,1.7688,2.7732,-3.5566,-4.0276,-3.8560,-4.7140
0.180,1.3174,1.8507,2.7720,3.7164,-3.9206,-3.0975,-3.2156,-3.6949
0.184,2.3936,1.7999,3.0574,1.1020,-2.2823,-4.3563,-2.8872,-3.4108
0.188,3.2094,2.9632,3.6543,5.3522,0.1827,-2.2610,-0.5041,-1.7460
0.192,3.2752,4.5308,4.7112,6.6865,2.0359,-0.6588,-1.5277,-0.7841
0.196,5.5440,5.7226,5.9103,6.0939,1.9918,2.2051,3.4404,1.3182
0.200,6.3698,6.0865,8.6717,9.0832,4.4540,3.3341,2.5601,1.7552
0.204,6.2080,7.1772,6.5667,7.8883,6.7409,5.1270,5.4981,3.6683
0.208,6.9819,7.2806,9.7613,8.7471,8.9834,7.4604,6.4551,6.2327
0.212,7.5622,9.1676,10.6432,7.6081,7.7145,8.6672,6.0435,7.0796
0.216,8.4473,9.0712,8.3402,8.5529,9.7036,9.1800,7.0492,7.6890
0.220,9.1730,7.7992,9.8085,8.6953,9.4546,9.2166,8.0720,7.8587
0.224,7.2792,6.4972,8.0318,8.7264,9.5636,7.6040,7.7030,6.2387
0.228,6.2318,7.1537,7.2515,6.2012,6.7275,6.3920,6.9769,6.5463
0.232,6.1327,6.1506,5.1032,6.6041,6.5724,6.4583,7.8585,5.8394
0.236,5.4934,5.1928,6.8525,6.5815,6.0967,5.1620,5.3119,4.5741
0.240,3.5264,5.7477,5.9932,4.5575,4.2102,2.9428,5.4236,4.2559
0.244,3.9357,3.2850,3.7562,3.9565,4.9135,3.1399,2.2558,2.9045
0.248,3.7166,3.0005,2.4104,0.7525,1.8174,2.2415,2.9396,0.2669
0.252,2.3373,1.9513,0.7533,3.3774,1.9145,2.7347,-0.1714,-1.4642
0.256,-0.6200,2.1073,1.5433,1.1916,-0.3142,0.5728,0.2295,-1.6079
0.260,-1.6963,-0.2161,0.7653,-0.9364,-0.3616,-0.0089,-3.7882,-4.7354
0.264,-1.0815,-0.6303,-0.1144,-0.8598,-1.0515,-4.0823,-3.9870,-5.2697
0.268,-2.7120,-2.6352,-2.6905,-3.1506,-4.2977,-5.0539,-4.9579,-5.7914
0.272,-3.6200,-3.0243,-4.8133,-2.4548,-6.0871,-5.2485,-6.1230,-8.0777
0.276,-3.5156,-4.3312,-3.6893,-4.5147,-5.8150,-6.9828,-7.2278,-7.3757
0.280,-5.9052,-5.2016,-4.1152,-4.8144,-7.0392,-6.7340,-6.9987,-8.3048
0.284,-4.0485,-5.7296,-4.9413,-4.5662,-6.2122,-7.3018,-7.0699,-6.7842
0.288,-5.0834,-5.0290,-5.3805,-5.6872,-4.9359,-7.1113,-6.7005,-6.6286
0.292,-5.2149,-3.9545,-4.3237,-3.8485,-3.6501,-3.3872,-4.3625,-4.2681
0.296,-4.5405,-2.8912,-2.4896,-3.2576,-2.3833,-1.4600,-1.3129,-2.7602
0.300,-2.9657,-2.5496,-2.3532,-1.1582,-0.1317,-0.0048,-1.9312,-3.0876
0.304,-0.8445,-0.6632,-0.6477,-2.2501,1.6951,1.4861,1.4186,1.5343
0.308,0.9488,0.3774,0.8982,1.1834,3.5272,3.2284,2.5055,0.5850
0.312,0.2181,-0.0823,0.0687,0.6308,5.0259,4.2109,2.9740,3.1314
0.316,-0.2038,-0.3994,0.7908,2.5607,6.1771,6.5139,4.2777,4.8781
0.320,1.7707,2.1544,1.6100,1.2203,6.4184,6.2138,5.0894,4.4990
0.324,1.0720,1.0192,2.9822,3.4813,5.5881,5.5901,4.7386,5.1856
0.328,2.0057,2.2016,2.4920,2.7438,5.2976,5.6329,5.7945,5.2924
0.332,3.0445,3.6329,3.2639,2.1895,5.8734,6.5558,4.1612,4.4924
