time,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.000,1.1339,3.6653,-0.9680,1.9375,2.9008,-9.5396,-6.3932,-8.6350
0.004,1.8849,2.9959,-1.1017,0.7257,1.3847,-9.3480,-6.4905,-6.6221
0.008,4.3566,2.1216,-1.8046,0.3414,3.7003,-7.5853,-4.3423,-8.9234
0.012,6.4436,-0.3110,1.3582,1.8150,2.4243,-5.8250,-2.6699,-8.2004
0.016,7.8440,0.7090,3.4983,1.7645,0.4864,-4.1775,2.5316,-10.7256
0.020,5.4715,-0.0041,5.3050,4.0758,-1.6419,-2.1538,3.2923,-8.3975
0.024,5.9101,-2.4228,2.2095,2.3191,0.9926,-2.1534,5.4754,-7.3979
0.028,2.7940,-4.5378,-2.4858,5.2477,0.7452,-1.3029,6.9657,-3.8211
0.032,3.2381,-5.4363,-0.9167,4.3782,2.4741,1.0933,8.4973,0.2114
0.036,0.4468,-5.5631,-0.4520,4.2220,3.1446,-0.3997,11.0779,2.6952
0.040,-1.6416,-9.5371,3.2896,5.4362,3.8689,0.2258,11.4401,7.2580
0.044,-0.6869,-10.0376,2.7885,9.0324,3.7387,0.4489,13.6507,7.8645
0.048,0.7819,-11.7450,4.5575,8.4754,3.4575,2.0408,11.0167,6.3181
0.052,0.7374,-15.3508,3.9837,8.9005,3.9416,4.5172,11.9879,10.7490
0.056,-0.2098,-11.3241,7.2730,10.0872,3.3247,7.3220,9.4182,10.7814
0.060,1.5316,-11.7595,3.1968,8.7397,2.5307,3.9969,7.1598,10.5944
0.064,1.2742,-12.2292,1.4285,6.7687,-0.4284,4.3233,2.1759,11.3097
0.068,2.9232,-4.7890,3.1348,6.7504,-0.9488,4.8035,0.6952,9.3978
0.072,3.8727,-1.2318,2.0099,3.4877,-3.3910,4.8050,-2.9180,11.2867
0.076,5.3982,-1.8662,3.2432,5.9391,-7.4625,1.7633,-6.5279,7.2349
0.080,6.4274,2.7620,1.4126,6.2503,-5.0455,-1.4829,-9.1643,7.6115
0.084,5.3307,1.1699,1.1096,6.4863,-4.7057,-3.5848,-11.5932,5.3840
0.088,3.7752,0.2333,4.4648,7.0195,-5.0207,-3.7943,-14.1699,2.4217
0.092,5.1170,1.4309,4.6600,3.0387,-6.4108,-0.8221,-16.1138,-0.0433
0.096,5.1761,4.3274,4.4833,1.6219,-2.2089,-4.4227,-16.5623,-1.6765
0.100,6.9208,5.3884,5.2802,2.2898,-1.3523,-5.1750,-14.5991,-3.3442
0.104,9.1623,3.9774,5.0617,1.0980,-1.9062,-5.7270,-15.1812,-3.8210
0.108,6.0754,3.7933,3.1611,0.3242,2.5699,-5.4037,-11.3285,-2.5146
0.112,3.8203,3.3524,3.2832,-2.0360,3.8508,-5.1249,-6.4727,-2.7114
0.116,5.3855,1.6376,3.0401,-0.5033,4.4992,-2.8736,-3.3787,1.3614
0.120,5.0866,1.1334,5.4689,0.5433,6.1272,-5.6319,-0.4861,6.3369
0.124,5.1044,-0.5682,2.6008,-1.2888,5.8246,-5.5590,3.4703,6.6467
0.128,2.6516,-0.4337,5.0113,1.6030,4.7338,-5.3301,6.4271,9.9694
0.132,0.9728,0.0271,8.0822,3.0134,4.9769,-3.5738,8.2788,10.2978
0.136,-1.4824,-1.9680,10.1923,0.4654,4.0808,-3.1612,8.8014,13.8022
0.140,-0.6845,-1.9375,9.2093,1.4873,5.8972,-1.2660,7.1143,17.2825
0.144,-2.1859,-1.3140,11.6528,3.2543,6.4433,1.8095,8.5772,16.8277
0.148,-3.4997,0.0353,11.4143,3.0076,9.3044,5.6255,5.8155,16.3244
0.152,-2.4651,-2.8933,10.9068,8.6539,12.1267,6.1769,3.1535,15.4770
0.156,-2.6881,-3.3637,10.1565,9.1032,10.0541,5.7324,3.2700,15.6637
0.160,-2.0231,-5.0324,10.0776,11.4942,8.1416,5.6155,3.0366,12.5171
0.164,-0.0496,-4.6802,7.8305,11.1400,10.9593,6.1494,4.1885,13.7971
0.168,-1.3330,-6.0080,6.4844,12.5340,8.1123,7.7158,4.2271,15.6310
0.172,-0.1045,-3.4069,5.7234,10.4665,7.5701,2.7252,-1.8231,8.6873
0.176,0.5054,-1.6052,5.1433,7.5880,5.1835,2.9178,-9.0696,7.1612
0.180,0.2083,1.5421,4.4419,6.4678,1.4340,1.3237,-12.2135,5.5716
0.184,0.3648,5.4083,4.9477,6.9849,0.4911,3.1399,-9.8496,5.8451
0.188,4.3127,4.6134,5.1790,5.7538,-1.0414,-0.4999,-14.1571,-0.5720
0.192,1.9637,3.5508,5.4194,1.9360,-1.5867,-2.4494,-10.7814,-3.4219
0.196,4.2883,8.4610,7.2602,2.0520,0.6898,-1.8704,-9.5540,-3.7178
0.200,2.4827,5.9778,7.4977,1.2348,-0.1884,-4.4397,-8.7268,-7.6256
0.204,1.7765,3.7117,5.4573,-0.3703,3.3361,-5.3101,-5.7531,-7.7409
0.208,2.4606,4.8849,5.9400,-1.0892,1.0670,-7.2259,-5.5995,-7.8890
0.212,4.2072,3.7273,7.2517,0.2008,2.7226,-5.2043,-2.2798,-7.2353
0.216,5.5087,3.2816,4.8853,0.4117,1.9158,-5.5774,-0.1711,-11.6214
0.220,5.9973,5.0228,9.2961,-0.2865,1.8557,-5.0937,1.5085,-8.7229
0.224,6.0678,4.9222,9.3144,-1.5421,2.0252,-5.2220,2.9185,-6.7156
0.228,5.7282,6.3208,7.8488,-0.4761,1.4617,-6.7119,4.4826,-4.5772
0.232,6.7871,0.6674,6.8380,-0.9549,-1.4171,-6.1796,4.1760,-2.6332
0.236,4.7177,2.4659,9.2666,-2.9653,-0.8933,-5.1273,3.2810,0.4773
0.240,-0.9044,-2.3931,10.8297,-0.2365,-0.5717,-1.2287,6.0940,3.0451
0.244,-1.1819,-6.4098,11.6983,1.9662,-0.4183,1.2891,8.5666,5.1367
0.248,-4.5170,-3.8395,9.5186,3.5304,-3.7887,5.4329,8.1609,5.6909
0.252,-3.8880,-5.3600,8.7299,0.4573,-1.3774,6.9286,6.4066,5.7493
0.256,-4.5006,-4.2028,6.0590,-1.2741,-5.2664,11.8681,6.1651,6.5275
0.260,-3.6899,-3.8594,5.2531,-0.7562,-2.4370,13.3483,2.9040,5.3927
0.264,-3.6714,-0.7358,2.7736,-2.4220,-4.2690,11.1369,-3.6190,2.9811
0.268,-2.4912,-1.6299,4.8950,-4.4397,-4.4644,9.6918,-8.5473,1.1292
0.272,0.5304,-2.7818,2.3745,-1.7388,-4.3558,14.4286,-12.6355,2.6951
0.276,0.1548,1.1916,5.4434,-2.7271,-5.4086,10.8354,-15.2420,-1.0193
0.280,2.6154,3.4656,1.4771,-1.0810,-6.5087,10.3468,-18.6678,-3.4481
0.284,2.3080,5.3786,4.5716,-4.0575,-8.7504,13.4211,-18.9256,-4.4104
0.288,1.9527,4.7308,3.6318,-1.7316,-11.5080,7.2076,-17.9799,-7.6854
0.292,-0.5409,4.7970,2.5604,-7.4242,-8.7187,9.6260,-18.0640,-10.0804
0.296,-0.1082,3.2461,3.6837,-6.8249,-6.4689,10.3936,-14.9510,-13.6385
0.300,-1.2425,2.4635,2.4228,-7.7273,-6.3374,8.7329,-15.4251,-12.1441
0.304,-1.5526,2.5636,0.7123,-11.3589,-5.3037,4.8223,-12.5454,-14.7629
0.308,-3.4749,0.8632,-0.4550,-10.1454,-2.9667,4.1658,-11.2647,-18.8858
0.312,-3.4994,0.5069,1.0337,-8.2412,-0.5825,1.7021,-10.3071,-16.6732
0.316,-0.7418,-2.4536,-0.1188,-7.4094,1.5800,0.6067,-6.3187,-15.1035
0.320,-2.4570,0.3118,4.1036,-3.8399,1.4913,1.5230,-2.1799,-12.2529
0.324,-1.0734,3.0173,4.7999,-1.5490,4.0581,-0.2978,2.8806,-11.2284
0.328,-2.5849,3.4591,5.5803,0.0762,5.6957,-3.3845,4.5327,-6.0461
